file	page	type	flag	text
P11-1.pdf	14	hl		While active immunization through vaccines stimulates the host immune system to generate long-term protection, it may not be feasible or effective in certain high-risk groups, such as neonates, young infants, or immunocompromised individuals, whose immune responses are either immature or suppressed
P11-1.pdf	1	hl		Moreover, age-dependent vulnerabilities, such as immune immaturity in infants and immunosenescence in older adults, exacerbate disease severity.
P11-2.pdf	4	hl		此前儿童RSV疫苗在临床试验阶段中发现，接种疫苗的儿童在随后自然感染RSV时出现了疫苗相关增强型呼吸道疾病（VAERD）的现象
P11-2.pdf	4	hl		人群在RSV 自然感染后无法获得持久免疫力，仍会反复感染，因此特异性免疫预防至关重要。
P11-3.pdf	1	hl		A formalin inactivated monkey kidney culture propagated 100-fold concentrated respiratory syncytial (RS) virus vaccine was administered intramuscularly to residents of Harrison and Arthur Cottages in Junior Village, a District of Columbia Welfare Institution for homeless but otherwise normal infants and children.
P11-3.pdf	1	hl		The vaccine not only failed to offer protection but also induced an exaggerated, altered clinical response to naturally occurring RS virus infection in the younger vaccinees as 9 (69%) of 13 vaccinated and only 4 (9%) of 47 nonvaccinated Harrison Cottage residents 6—23 months of age developed pneumonia (p < .0001).
P11-4.pdf	1	hl		In contrast, passive immunization transfers nearly immediate immunity by direct administration of specific antibodies against the pathogen, with intravascular administration being the fastest way to confer protection within hours.
P11-4.pdf	1	hl		Passive immunization can be especially important for individuals with a deficient immune system, who do not respond adequately to active immunization.
P12-1.pdf	10	hl		克莱罗韦单抗是一种全人源免疫球蛋白G1κ（IgG1κ）中和单克隆抗体，通过对其Fc 区域的三重氨基酸置换（YTE），可增加与新生儿Fc 受体的结合，从而延长血清半衰期。
P12-1.pdf	10	hl		克莱罗韦单抗通过靶向作用于RSV 外膜融合（F）蛋白，阻止病毒与细胞膜融合进入细胞，从而发挥被动免疫作用。
P12-1.pdf	10	hl		克莱罗韦单抗可与F蛋白上的保守表位抗原位点IV 结合，与RSV A 融合前F 糖蛋白和融合后F 糖蛋白结合的平衡解离常数值（KD）分别为71 pM 和480 pM。
P13-8.pdf	3	hl		ENFLONSIA is indicated for the prevention of respiratory syncytial virus (RSV) lower respiratory tract disease in neonates and infants who are born during or entering their first RSV season
P15-1.pdf	7	hl		在2 项早产儿和足月儿的试验中评估了克莱罗韦单抗的保护效力和安全性，见表2。
P15-1.pdf	7	hl		方案004研究是一项在北半球和南半球的22个国家/地区进行的IIb/III期、随机、双盲、安慰剂对照、多中心试验，用于评估克莱罗韦单抗在早期和中期早产儿（GA≥29至<35周）以及晚期早产儿和足月儿（GA≥35周）中的保护效力。
P15-1.pdf	10	hl		基于相似的药代动力学暴露量，将方案004研究中克莱罗韦单抗的保护效力外推至方案007研究，确定了克莱罗韦单抗在严重RSV疾病风险增加的婴儿（包括早产儿和患有早产儿慢性肺病或先天性心脏病的婴儿）中的保护效力。
P15-1.pdf	4	hl		方案007研究是一项在严重RSV疾病风险增加的婴儿中进行的III期、随机、部分盲态、Palivizumab对照、多中心试验。受试者随机接受单次肌肉注射105 mg 克莱罗韦单抗（N=446），1个月后接受一剂安慰剂，或肌肉注射15 mg/kg 的Palivizumab，每月给药一次，给药3-5次（N=450）。
P15-1.pdf	3	hl		方案004研究是一项在早期和中期早产儿（胎龄[GA]≥29周至<35周）以及晚期早产儿和足月儿（GA≥35周）中进行的IIb/III期、随机、双盲、安慰剂对照、多中心试验。受试者以2:1的比例随机接受单次肌肉注射105 mg 克莱罗韦单抗（N=2,412，包括422例早期和中期早产儿）或生理盐水安慰剂（N=1,202，包括209例早期和中期早产儿）。
P15-1.pdf	4	hl		在接受克莱罗韦单抗给药的446例受试者中，176例患有早产儿慢性肺病（CLD）或血流动力学显著异常的先天性心脏病（CHD），270例为未患CLD或CHD的早期或中期早产儿（GA≤35周）。
P15-2.pdf	1	hl		We randomly assigned healthy preterm and full-term infants entering their first RSV season in a 2:1 ratio to receive one intramuscular 105-mg dose of clesrovimab or placebo.
P15-2.pdf	1	hl		Through day 150 after injection, RSV-associated medically attended lower respiratory infection occurred in 60 of 2398 infants in the clesrovimab group (incidence rate over 5-month period, 2.6%) and in 74 of 1201 infants in the placebo group (incidence rate over 5-month period, 6.5%), for an efficacy of 60.4% (95% confidence interval [CI], 44.1 to 71.9; P<0.001).
P15-2.pdf	1	hl		In healthy preterm and full-term infants, a single dose of clesrovimab reduced the incidence of RSV-associated medically attended lower respiratory infection and RSV-associated hospitalization, with a safety profile similar to that of placebo.
P15-5.pdf	1	hl		Palivizumab-eligible infants under the age of 1 year who had been born prematurely (gestational age, ≤35 weeks) or who had chronic lung disease of prematurity or hemodynamically significant congenital heart disease and were entering their first RSV season were randomly assigned in a 1:1 ratio to receive a single 105-mg dose of clesrovimab or monthly palivizumab, stratified according to their geographic region and medical condition (Fig. S1 in the Supplementary Appendix, available with the full text of this letter at NEJM.org).
P15-5.pdf	1	hl		The primary objective of the trial was to evaluate the safety of clesrovimab as compared with palivizumab during RSV season 1.
P15-5.pdf	1	hl		In season 1, the percentages of infants with adverse events were generally similar in the two groups (Table 1).
P15-6.pdf	6	hl		SMART (Protocol MK-1654-007, ClinicalTrials.gov: NCT04938830) is an ongoing, randomized, partially-blinded, active comparator-controlled phase 3 trial being conducted in 27 countries or territories (Table S1) to evaluate the safety, tolerability, pharmacokinetics (PK), and incidence rates of RSV-associated disease after administration of clesrovimab compared to palivizumab for RSV disease prevention.
P15-6.pdf	14	hl		By the time of the data cut-off for this interim analysis (05-Feb-2024), 901 participants (out of the planned 1,000 total) had been randomized across 109 sites in 27 countries or territories (Figure S2, Table S1-S4).
P15-6.pdf	14	hl		In RSV season 1, the incidence rates of RSV-associated MALRI requiring at least one indicator of LRI or disease severity and of RSV-associated hospitalization through day 150 were comparable between clesrovimab (3.6% and 1.3%, respectively) and palivizumab (3.0% and 1.5%, respectively).
P17-1.pdf	4	hl		Through 180 days, the efficacy of clesrovimab was 91.7% (95% CI, 62.9 to 98.1) against RSV-associated severe medically attended lower respiratory infection and 91.2% (95% CI, 77.2 to 96.6) against hospitalization for RSV-associated lower respiratory infection.
P17-1.pdf	3	hl		The secondary efficacy end points were RSV-associated hospitalization from days 1 to 150 after injection and RSV-associated medically attended lower respiratory infection requiring at least one indicator of lower respiratory infection or disease severity from days 1 to 180 after injection.
P17-1.pdf	4	hl		The efficacy of clesrovimab increased across end points of increasing RSV disease severity and persisted through 180 days (Fig. 1).
P20-1.pdf	1	hl		From November 30, 2021, to December 21, 2023, a total of 901 infants were randomly assigned to receive either clesrovimab (450 infants) or palivizumab (451 infants) (Fig. S2 and Tables S1 through S4).
P20-1.pdf	2	hl		In season 1, the incidence of RSV-associated medically attended lower respiratory infection that included at least one indicator of lower respiratory infection or one indicator of disease severity through 150 days was similar in the clesrovimab group and the palivizumab group (3.6% and 3.0%, respectively), as was the incidence of RSV-associated hospitalization through day 150 (1.3% and 1.5%, respectively) (Table 2).
P20-1.pdf	3	hl		In infants at increased risk for severe RSV disease, single-dose clesrovimab had results similar to those of monthly palivizumab with respect to the safety profile and incidence of RSV-associated disease.
P20-1.pdf	1	hl		Here, we report the interim results from a phase 3, randomized, partially blinded, palivizumab-controlled trial — SMART (MK-1654-007) — in which we evaluated clesrovimab in infants and children at increased risk for severe RSV disease.
P20-2.pdf	14	hl		In RSV season 1, the incidence rates of RSV-associated MALRI requiring at least one indicator of LRI or disease severity and of RSV-associated hospitalization through day 150 were comparable between clesrovimab (3.6% and 1.3%, respectively) and palivizumab (3.0% and 1.5%, respectively).
P20-2.pdf	13	hl		A secondary objective of the study is to estimate the efficacy of clesrovimab compared to palivizumab as assessed by the incidence of RSV-associated MALRI (outpatient and inpatient) occurring from Days 1 through 150 post Dose 1 in RSV Season 1.
P23-1.pdf	1	hl		In healthy preterm and full-term infants, a single dose of clesrovimab reduced the incidence of RSV-associated medically attended lower respiratory infection and RSV-associated hospitalization, with a safety profile similar to that of placebo.
P23-1.pdf	1	hl		Serious adverse events were reported in 278 of 2409 infants (11.5%) in the clesrovimab group and 149 of 1202 infants (12.4%) in the placebo group.
P23-2.pdf	3	hl		大部分（>96%）不良反应严重程度为1级（轻度）或2级（中度）。
P23-2.pdf	3	hl		在IIb/III期和III期临床试验（方案004和方案007）中，在2,858例接受克莱罗韦单抗给药的婴儿中评价了本品的安全性。
P23-2.pdf	3	hl		接受克莱罗韦单抗给药的受试者的不良反应见表1。
P24-1.pdf	1	hl		In season 1, the percentages of infants with adverse events were generally similar in the two groups
P24-1.pdf	1	hl		Most adverse events were mild or moderate
P24-1.pdf	3	hl		In infants at increased risk for severe RSV disease, single-dose clesrovimab had results similar to those of monthly palivizumab with respect to the safety profile and incidence of RSV-associated disease.
P26-1.pdf	1	hl		推荐剂量为105 mg，单次肌肉（IM）注射0.7 mL。
P26-1.pdf	1	hl		本品适用于即将进入或出生在第一个呼吸道合胞病毒（RSV）流行季的新生儿和婴儿预防RSV所致的下呼吸道感染。
P27-1.pdf	1	hl		Therefore, there are increased opportunities for, and a relatively high risk of, dosing errors in this setting.
P27-1.pdf	1	hl		Eleven of the 16 studies found that dosing errors are the most common type of medication error, three of the remaining studies found it to be the second most common type.
P27-1.pdf	2	hl		There is an urgent need to develop methods to reduce medication errors in children and dosing errors should be the first priority.
P27-1.pdf	1	hl		In paediatric medicine, drug doses are usually calculated individually based on the patient's age, weight and clinical condition.
P27-9.pdf	1	hl		Generally, fixed-dosing regimen is potentially more convenient than weight-adjusted dosing regimen for both patients and clinicians.
P27-9.pdf	2	hl		Findings of sporadic studies in recent years indicated that fixed dosing was more advantageous than weight-based dosing in some cases, and also some key factors may challenge the necessity of weight-based dosing despite being specified in prescribing information.
